SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-OR-A5J1-01	1	0.0287409286034084
TCGA-OR-A5J7-01	1	-0.00113128494148978
TCGA-OR-A5J8-01	1	-0.0492868496839853
TCGA-OR-A5JB-01	1	0.142167739168964
TCGA-OR-A5JE-01	1	0.093210180846778
TCGA-OR-A5JM-01	1	0.0936267460550543
TCGA-OR-A5JP-01	1	-0.0348024559281323
TCGA-OR-A5JS-01	1	0.186199740827364
TCGA-OR-A5JY-01	1	0.176928994925596
TCGA-OR-A5K0-01	1	-0.0171435780467704
TCGA-OR-A5K2-01	1	-0.00856534891076723
TCGA-OR-A5K5-01	1	0.341532858271761
TCGA-OR-A5K6-01	1	0.176158875182801
TCGA-OR-A5K9-01	1	0.176654359865818
TCGA-OR-A5KT-01	1	0.0123478322383928
TCGA-OR-A5KV-01	1	0.341341723838604
TCGA-OR-A5KX-01	1	0.164776187437814
TCGA-OR-A5KZ-01	1	0.0448786849137026
TCGA-OR-A5L3-01	1	0.111044855147852
TCGA-OR-A5LC-01	1	0.126011044350962
TCGA-OR-A5LD-01	1	0.266543975768637
TCGA-OR-A5LE-01	1	0.166175386004907
TCGA-OR-A5LG-01	1	0.325805862595851
TCGA-P6-A5OG-01	1	0.320083235744746
TCGA-OR-A5J2-01	2	0.0545795529275671
TCGA-OR-A5J5-01	2	0.267406535830549
TCGA-OR-A5J9-01	2	-0.114751133713994
TCGA-OR-A5JF-01	2	-0.00125619575647792
TCGA-OR-A5JJ-01	2	0.0872237127069353
TCGA-OR-A5JX-01	2	0.11498286011436
TCGA-OR-A5KU-01	2	0.26078928104998
TCGA-OR-A5KY-01	2	0.100484752052237
TCGA-OR-A5L8-01	2	0.263094364944355
TCGA-OR-A5LB-01	2	0.112892395017375
TCGA-OR-A5LJ-01	2	-0.0156840749029443
TCGA-OR-A5LO-01	2	-0.123162347405969
TCGA-OR-A5LS-01	2	0.0936756759724397
TCGA-OU-A5PI-01	2	0.058462336100973
TCGA-P6-A5OF-01	2	-0.00330327797139457
TCGA-OR-A5J3-01	3	0.113662114479815
TCGA-OR-A5JA-01	3	-0.00410936781072773
TCGA-OR-A5JC-01	3	0.0454388136021441
TCGA-OR-A5JG-01	3	0.183027842235431
TCGA-OR-A5JL-01	3	-0.0247340607722558
TCGA-OR-A5JV-01	3	0.117077775967986
TCGA-OR-A5JW-01	3	0.0838700807288251
TCGA-OR-A5K3-01	3	0.119754601080896
TCGA-OR-A5K4-01	3	0.144224750539173
TCGA-OR-A5K8-01	3	0.114459356052677
TCGA-OR-A5KO-01	3	-0.0295436845498902
TCGA-OR-A5KW-01	3	0.356958888097428
TCGA-OR-A5L4-01	3	0.204084744946456
TCGA-OR-A5LH-01	3	0.179164367062596
TCGA-OR-A5LM-01	3	0.22867951154109
TCGA-PK-A5H8-01	3	0.299470530882116
TCGA-PK-A5HB-01	3	0.212466188571149
TCGA-OR-A5J6-01	4	0.11881857094631
TCGA-OR-A5JD-01	4	0.0501928534249073
TCGA-OR-A5JI-01	4	0.0886866077947652
TCGA-OR-A5JK-01	4	0.0267736847093419
TCGA-OR-A5JO-01	4	0.0272849169803791
TCGA-OR-A5JQ-01	4	0.0199790660365312
TCGA-OR-A5JR-01	4	0.285397037888631
TCGA-OR-A5JT-01	4	0.0278164414168132
TCGA-OR-A5JZ-01	4	0.164170928931509
TCGA-OR-A5K1-01	4	0.380415503743141
TCGA-OR-A5L5-01	4	0.165988868033954
TCGA-OR-A5L6-01	4	0.358667124776677
TCGA-OR-A5L9-01	4	0.233781964294884
TCGA-OR-A5LA-01	4	0.223185511084306
TCGA-OR-A5LK-01	4	0.179844115668078
TCGA-OR-A5LL-01	4	0.275972586526268
TCGA-OR-A5LN-01	4	0.162009610709968
TCGA-OR-A5LP-01	4	0.0176671555531084
TCGA-OR-A5LR-01	4	0.329713994061845
TCGA-OR-A5LT-01	4	0.0276805333752268
TCGA-PA-A5YG-01	4	0.202019007834856
TCGA-PK-A5H9-01	4	0.225332223362579
TCGA-PK-A5HA-01	4	-0.0179843550548071
SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-2F-A9KO-01	1	-0.0193023548687376
TCGA-4Z-AA7N-01	1	0.179575380806165
TCGA-5N-A9KI-01	1	0.155369377078838
TCGA-BT-A20O-01	1	0.164187422970479
TCGA-BT-A20Q-01	1	0.100211407039762
TCGA-BT-A20R-01	1	0.0558727664904087
TCGA-BT-A2LB-01	1	0.02470922527039
TCGA-DK-A1A3-01	1	0.198307076589874
TCGA-DK-A1A5-01	1	0.0941273326456236
TCGA-DK-A1AF-01	1	0.0845095785674267
TCGA-DK-A2HX-01	1	0.14035708909688
TCGA-DK-A2I4-01	1	0.14948089524583
TCGA-DK-A3IQ-01	1	0.245285019046869
TCGA-DK-A3IT-01	1	0.0350386549440674
TCGA-DK-A3IU-01	1	0.0682067864352514
TCGA-DK-A3WY-01	1	0.182741884774939
TCGA-DK-AA6S-01	1	0.261937471174302
TCGA-DK-AA6T-01	1	0.0299194399654378
TCGA-E7-A6MD-01	1	0.052992683536217
TCGA-FD-A3B8-01	1	0.255242002234992
TCGA-FD-A3SL-01	1	0.0203241016730628
TCGA-FD-A3SM-01	1	0.0359824175637084
TCGA-FD-A3SP-01	1	0.149755626182521
TCGA-FD-A3SQ-01	1	0.00578464657824825
TCGA-FD-A3SR-01	1	0.0804295957838389
TCGA-FD-A43S-01	1	-0.0285443266630598
TCGA-FD-A43U-01	1	0.0523997487940637
TCGA-FD-A5BR-01	1	0.00732604204697011
TCGA-FD-A5BS-01	1	0.0946145643929305
TCGA-FD-A5BT-01	1	-0.0764831830698235
TCGA-FD-A5BX-01	1	0.137284177289607
TCGA-FD-A5BZ-01	1	-0.0362334818606941
TCGA-FD-A5C0-01	1	0.0265428265840462
TCGA-FD-A62N-01	1	0.0872808034224121
TCGA-FD-A6TB-01	1	-0.0822954855698927
TCGA-FD-A6TC-01	1	0.106978903042946
TCGA-FD-A6TF-01	1	0.105953167921019
TCGA-FD-A6TG-01	1	0.0632484288159958
TCGA-FD-A6TH-01	1	0.0814635743873439
TCGA-FT-A61P-01	1	-0.0257971313084501
TCGA-G2-A2EO-01	1	0.123784979079864
TCGA-GC-A3OO-01	1	0.340261511125206
TCGA-GC-A3WC-01	1	0.211407578527379
TCGA-GU-AATO-01	1	0.0788152421140188
TCGA-GV-A3QG-01	1	0.0467870394829261
TCGA-K4-A3WS-01	1	0.100660752230792
TCGA-K4-A3WU-01	1	0.355040552519368
TCGA-K4-A5RH-01	1	0.338541539694772
TCGA-K4-A83P-01	1	0.0116610904664424
TCGA-K4-AAQO-01	1	0.377371700058082
TCGA-KQ-A41S-01	1	0.315092617770131
TCGA-R3-A69X-01	1	0.0977795533932254
TCGA-SY-A9G0-01	1	0.273834521374112
TCGA-UY-A8OD-01	1	0.31990670977045
TCGA-XF-A9SI-01	1	-0.00290591754563096
TCGA-XF-A9SK-01	1	-0.0888937821430558
TCGA-XF-A9SL-01	1	0.0148779372089033
TCGA-XF-A9SP-01	1	0.310070284723281
